Nama,Latitude,Longitude,Tipe,Deskripsi
Simpang Lima,-6.9904,110.4229,Landmark,Alun-alun pusat kota Semarang
Lawang Sewu,-6.9839,110.4139,Sejarah,Bangunan bersejarah dengan banyak pintu
Sam Poo Kong,-6.9963,110.3980,Sejarah,Klenteng bersejarah Laksamana Cheng Ho
Kota Lama,-6.9683,110.4276,Sejarah,Kawasan peninggalan kolonial Belanda
Universitas Diponegoro,-7.0494,110.4398,Pendidikan,Kampus utama UNDIP Tembalang
Politeknik Negeri Semarang,-7.0543,110.4368,Pendidikan,Kampus POLINES Tembalang
Brown Canyon,-7.0583,110.4851,Wisata Alam,Bekas galian tambang yang unik
Masjid Agung Jawa Tengah,-6.9836,110.4448,Tempat Ibadah,Masjid besar dengan payung hidrolik
Stasiun Tawang,-6.9644,110.4278,Transportasi,Stasiun kereta api utama
Bandara Jenderal Ahmad Yani,-6.9744,110.3879,Transportasi,Bandar udara internasional
Gedung Balai Kota Semarang,-6.9806,110.4162,Kantor Pemerintahan,Pusat pelayanan masyarakat dan kantor Walikota Semarang
Museum Ranggawarsita,-6.9868,110.3846,Museum,Museum dengan koleksi peninggalan prasejarah dan kebudayaan Jawa Tengah
Taman Indonesia Kaya,-6.9922,110.4208,Taman Kota,Taman kota dengan panggung seni terbuka untuk pertunjukan budaya
Stasiun Poncol,-6.9723,110.4325,Transportasi,Stasiun kereta api di pusat kota Semarang
